,displayName,description,abbreviation,value,perGameValue,rank,teamName
11,Passes Batted Down,The number of passes that were batted down.,BATD,0.0,,1.0,Falcons
12,Passes Defended,The total number of passes defended.,PD,69.0,4.0,17.0,Falcons
13,Two Point Returns,The number of two point attempts that is returned by the defense.,2PTR,0.0,,1.0,Falcons
14,Sacks,The total number of sacks.,SACK,21.0,1.2350000143051147,31.0,Falcons
15,Sack Yards,The number of yards lost from sacks.,SCKYDS,148.0,8.706000328063965,31.0,Falcons
16,Safeties,The number of times the offense is tackled in their own endzone.,SAFE,1.0,,1.0,Falcons
17,Solo Tackles,The number of times a tackle was made unassisted.,SOLO,722.0,38.0,44.0,Falcons
18,Stuffs,The number of times that a runner is stuffed at or behind the line of scrimmage.,STF,36.0,3.0,16.0,Falcons
19,Stuff Yards,The number of yards lost from stuffs.,STFYDS,127.0,,31.0,Falcons
20,Tackles For Loss,The number of tackles that result in a loss of yardage.,TFL,57.0,3.3529999256134033,31.0,Falcons
21,Team Games Played,The numbers of team games played.,GP,17.0,,1.0,Falcons
22,Total Tackles,The total number of tackles.,TOT,1276.0,68.0,26.0,Falcons
23,Yards Allowed,Yards allowed,YA,0.0,,1.0,Falcons
24,Points Allowed,Points allowed,PA,0.0,,1.0,Falcons
25,One Point Safeties Made,One Point Safeties Made,OPSM,0.0,,1.0,Falcons
0,Interceptions,The total number of interceptions.,INT,10.0,,24.0,Falcons
1,Interception Touchdowns,The number of times an interception is returned for a touchdown.,TD,1.0,,11.0,Falcons
2,Interception Yards,The number of yards gained after an interception.,YDS,124.0,7.0,23.0,Falcons
0,Average Kickoff Return Yards,The average number of yards per kickoff return.,YDS/KR,22.643,15.38700008392334,8.0,Falcons
1,Average Kickoff Yards,The average number of yards per kickoff.,YDS/K,64.288,17.893999099731445,3.0,Falcons
2,Extra Point Attempts,The number of extra point attempts.,XPA,35.0,2.0,8.0,Falcons
3,Extra Point Percentage,The percentage of extra point attempts that are converted.,XP%,94.286,88.23500061035156,10.0,Falcons
4,Extra Point Blocked,The number of extra points blocked.,XPB,1.0,,13.0,Falcons
5,Extra Points Blocked Percentage,The percentage of extra points attempts that are blocked.,XPB%,2.857,2.940999984741211,14.0,Falcons
6,Extra Points Made,The number of extra point attempts made.,XPM,33.0,1.0,8.0,Falcons
7,Fair Catches,The number of fair catches.,FC,0.0,,1.0,Falcons
8,Fair Catch Percentage,The percentage of kicks that are fair catches.,FC%,0.0,15.201000213623047,1.0,Falcons
9,Field Goal Attempts,The number of times a field goal is attempted.,FGA,37.0,2.0,2.0,Falcons
10,Field Goal Attempts 1-19,The number of field goals attempted from 1-19 yards.,FGA 1-19,0.0,,2.0,Falcons
11,Field Goal Attempts 20-29,The number of field goals attempted from 20-29 yards.,FGA 20-29,9.0,,5.0,Falcons
12,Field Goal Attempts 30-39,The number of field goals attempted from 30-39 yards.,FGA 30-39,7.0,,11.0,Falcons
13,Field Goal Attempts 40-49,The number of field goals attempted from 40-49 yards.,FGA 40-49,10.0,,6.0,Falcons
14,Field Goal Attempts 50-59,The number of field goals attempted from 50-59 yards.,FGA 50-59,10.0,,1.0,Falcons
15,Field Goal Attempts 60-99,The number of field goals attempted from 60-99 yards.,FGA 60-99,1.0,,2.0,Falcons
16,Field Goal Attempts 50+,The number of field goals attempted from 50+ yards.,FGA 50+,11.0,,3.0,Falcons
17,Field Goal Attempt Yards,The number of yards for field goal attempts.,FGAYDS,1485.0,83.0,1.0,Falcons
18,Field Goal Percentage,The percentage of field goals attempted that are made.,FG%,86.486,79.21600341796875,9.0,Falcons
19,Field Goals Blocked,The number of field goals that are blocked.,FGB,0.0,,1.0,Falcons
20,Field Goals Blocked Percentage,The percentage of field goals attempted that are blocked.,CMP,0.0,,1.0,Falcons
21,Field Goal Made,The number of times a field goal is made.,FGM,32.0,1.0,3.0,Falcons
22,Field Goals Made 1-19,The number of field goals made from 1-19 yards.,FGM 1-19,0.0,,2.0,Falcons
23,Field Goals Made 20-29,The number of field goals made from 20-29 yards.,FGM 20-29,9.0,,5.0,Falcons
24,Field Goals Made 30-39,The number of field goals made from 30-39 yards.,FGM 30-39,7.0,,10.0,Falcons
25,Field Goals Made 40-49,The number of field goals made from 40-49 yards.,FGM 40-49,9.0,,5.0,Falcons
26,Field Goals Made 50-59,The number of field goals made from 50-59 yards.,FGM 50-59,7.0,,3.0,Falcons
27,Field Goals Made 60-99,The number of field goals made from 60-99 yards.,FGM 60-99,0.0,,4.0,Falcons
28,Field Goals Made 50+,The number of field goals made from 50+ yards.,50+,7.0,,7.0,Falcons
29,Field Goals Made Yards,The total amount of yardage of field goals made.,FGMYDS,1218.0,71.0,4.0,Falcons
30,Field Goals Missed Yards,The total amount of yardage of missed field goals.,FGMSYD,267.0,12.0,5.0,Falcons
31,Kickoff Returns,The number of times a kickoff was returned.,KR,28.0,1.0,11.0,Falcons
32,Kickoff Return Touchdowns,The number of times a kickoff was returned for a touchdown.,KRTD,0.0,,1.0,Falcons
33,Kickoff Return Yards,The total amount of yardage of kick returns.,KRYDS,634.0,37.0,6.0,Falcons
34,Kickoffs,The number of kickoffs taken.,K,80.0,4.0,9.0,Falcons
35,Kickoff Yards,The total amount of yardage of kickoffs.,KYDS,5143.0,74.0,8.0,Falcons
36,Long Field Goal Attempt,The distance of the longest field goal attempt.,LFGA,63.0,,1.0,Falcons
37,Long Field Goal Made,The distance of the longest field goal made.,LNG,54.0,36.0,11.0,Falcons
38,Long Kickoff,The distance of the longest kickoff.,LK,77.0,45.0,1.0,Falcons
39,Team Games Played,The numbers of team games played.,GP,17.0,,1.0,Falcons
40,Total Kicking Points,The number of total points earned kicking.,PTS,129.0,7.0,4.0,Falcons
41,Touchback Percentage,The percentage of kickoffs that are touchbacks.,TB%,73.75,69.74800109863281,4.0,Falcons
42,Touchbacks,The number of kickoffs that result in touchbacks.,TB,59.0,3.0,5.0,Falcons
0,Defensive Fumbles Returns,The number of fumble returns.,DFR,0.0,,1.0,Falcons
1,Defensive Fumble Return Yards,The amount of total yardage from fumble returns.,DFRYDS,0.0,,1.0,Falcons
2,Fumble Recoveries,The number of fumble recoveries.,FR,7.0,,23.0,Falcons
3,Fumble Recovery Yards,The amount of total yardage from fumble recoveries.,YDS,51.0,,10.0,Falcons
4,Kick Return Fair Catches,The number of kick return fair catches.,KRFC,0.0,,1.0,Falcons
5,Kick Return Fair Catch Percentage,The percentage of kick returns that are fair caught.,KRFC%,0.0,,1.0,Falcons
6,Kick Return Fumbles,The number of kick return fumbles.,KRF,0.0,,1.0,Falcons
7,Kick Return Fumbles Lost,The number of kick return fumbles that are lost.,KRFL,0.0,,1.0,Falcons
8,Kick Returns,The number of kick returns.,ATT,28.0,1.0,22.0,Falcons
9,Kick Return Touchdowns,The number of kick return touchdowns.,TD,1.0,,2.0,Falcons
10,Kick Return Yards,The total yardage of kick returns.,YDS,634.0,37.0,21.0,Falcons
11,Long Kick Return,The longest kick return in yards.,LNG,103.0,20.0,2.0,Falcons
12,Long Punt Return,The longest punt return in yards.,LNG,56.0,12.0,3.0,Falcons
13,Miscellaneous Fumbles Returns,The number of fumble returns.,MFR,0.0,,1.0,Falcons
14,Miscellaneous Fumble Return Yards,The amount of total yardage from fumble returns.,MFRYDS,0.0,,1.0,Falcons
15,Opposition Fumble Recoveries,The number of fumble recoveries by the opposition.,OPFR,12.0,,4.0,Falcons
16,Opposition Fumble Recovery Yards,The amount of total yardage from fumble recoveries by the opposition.,OFRYDS,81.0,,4.0,Falcons
17,Opposition Special Team Fumble Returns,The number of fumble returns by the opposition's speical teams.,OPSTFR,0.0,,1.0,Falcons
18,Opposition Special Team Fumble Return Yards,The amount of total yardage from fumble return by the opposition's special teams.,OFRYDS,0.0,,1.0,Falcons
19,Punt Return Fair Catches,The number of punt return fair catches.,FC,19.0,1.0,12.0,Falcons
20,Punt Return Fair Catch Percentage,The percentage of kick returns that are fair caught.,PRFC%,105.556,,5.0,Falcons
21,Punt Return Fumbles,The number of punt return fumbles.,PRF,0.0,,1.0,Falcons
22,Punt Return Fumbles Lost,The number of punt return fumbles that are lost.,PRFL,0.0,,1.0,Falcons
23,Punt Returns,The number of punt returns.,ATT,18.0,1.0,31.0,Falcons
24,Punt Returns Started Inside the 10,The number of punt returns started inside the 10.,PR 10,0.0,,1.0,Falcons
25,Punt Returns Started Inside the 20,The number of punt returns started inside the 20.,PR 20,0.0,,1.0,Falcons
26,Punt Return Touchdowns,The number of punt return touchdowns.,TD,0.0,,4.0,Falcons
27,Punt Return Yards,The total yardage of punt returns.,YDS,292.0,17.0,14.0,Falcons
28,Special Team Fumbles Returns,The number of special team fumble returns.,STFR,0.0,,1.0,Falcons
29,Special Team Fumble Return Yards,The amount of total yardage from special team fumble returns.,STFRYD,0.0,,1.0,Falcons
30,Team Games Played,The numbers of team games played.,GP,17.0,,1.0,Falcons
31,Yards Per Kick Return,The average number of yards per kick return.,AVG,22.643,15.38700008392334,16.0,Falcons
32,Yards Per Punt Return,The average number of yards per punt return.,AVG,16.222,9.961000442504883,1.0,Falcons
33,Yards Per Return,The average number of yards per return.,YDS/R,20.13,,2.0,Falcons
0,Average Punt Return Yards,The average number of yards per punt return.,AVG,10.0,10.583000183105469,10.0,Falcons
1,Fair Catches,The number of fair catches.,FC,22.0,1.0,8.0,Falcons
2,Gross Average Punt Yards,The average gross number of yards per punt.,AVG,45.887,47.16999816894531,24.0,Falcons
3,Long Punt,The distance of the longest punt.,LNG,73.0,53.0,7.0,Falcons
4,Net Average Punt Yards,The average net number of yards per punt.,NET,41.855,43.80099868774414,23.0,Falcons
5,Punt Returns,The number of times a punt was returned.,ATT,25.0,1.0,22.0,Falcons
6,Punt Return Yards,The total amount of yardage of punt returns.,YDS,250.0,14.0,18.0,Falcons
7,Punts,The number of punts taken.,PUNTS,62.0,3.0,20.0,Falcons
8,Punts Blocked,The number of times a punt was blocked.,PBLK,0.0,,11.0,Falcons
9,Punts Blocked Percentage,The percentage of punts that are blocked.,PBLK%,0.0,,11.0,Falcons
10,Punts Inside 10,The number of times a punt is downed inside the 10.,P 10,6.0,,19.0,Falcons
11,Punts Inside 10 Percentage,The percentage of punts that end up inside the 10.,P 10%,9.677,,21.0,Falcons
12,Punts Inside 20,The number of times a punt is downed inside the 20.,IN20,23.0,1.0,19.0,Falcons
13,Punts Inside 20 Percentage,The percentage of punts that end up inside the 10.,IN20%,37.097,33.4119987487793,18.0,Falcons
14,Punt Yards,The total amount of yardage of punts.,YDS,2845.0,167.0,23.0,Falcons
15,Team Games Played,The numbers of team games played.,GP,17.0,,1.0,Falcons
16,Touchback Percentage,The percentage of punts that are touchbacks.,TB%,3.226,7.8429999351501465,29.0,Falcons
17,Touchbacks,The number of kickoffs that result in touchbacks.,TB,2.0,,28.0,Falcons
0,Defensive Points,The number of points scored on defense.,DP,2.0,6.0,3.0,Falcons
1,Field Goals,The number of field goals made.,FG,32.0,1.0,6.0,Falcons
2,Kick Extra Points,The number of extra points made.,PAT,33.0,1.0,16.0,Falcons
3,Miscellaneous Points,The number of miscellaneous points scored.,MISP,0.0,,1.0,Falcons
4,Passing Touchdowns,The total number of passing touchdowns.,PASS,17.0,1.0,24.0,Falcons
5,Receiving Touchdowns,The total number of receiving touchdowns.,REC,17.0,1.0,24.0,Falcons
6,Return Touchdowns,The total number of return touchdowns.,RET,4.0,,3.0,Falcons
7,Rushing Touchdowns,The total number of rushing touchdowns.,RUSH,17.0,1.0,10.0,Falcons
8,Total Points,The number of total points scored.,PTS,365.0,21.0,15.0,Falcons
9,Total Points Per Game,The number of points scored per game.,TP/G,21.471,,15.0,Falcons
10,Total Touchdowns,The number of touchdowns scored in total.,TD,38.0,2.0,18.0,Falcons
11,Total Two Point Conversions,The number of times a 2-point conversion is successful.,2PT,3.0,,4.0,Falcons
12,Two Point Pass Conversions,The number of times a 2-point conversion is successful with a pass.,2PTPC,2.0,,7.0,Falcons
13,Two Point Receiving Conversion,The number of times a 2-point is converted with a reception.,2PTRCC,2.0,,7.0,Falcons
14,Two Point Rush Conversion,The number of times a 2-point is converted with a run.,2PTRUC,1.0,,4.0,Falcons
15,One Point Safeties Made,One Point Safeties Made,OPSM,0.0,,1.0,Falcons
0,Total 1st downs,The the number of first downs.,CMP,330.0,19.0,21.0,Falcons
1,Passing 1st downs,The number of times a pass results in a first down.,FDP,148.0,8.0,30.0,Falcons
2,1st downs by penalty,The number of times a penalty results in a first down.,FDPEN,30.0,1.0,9.0,Falcons
3,First Downs Per Game,The average number of first downs per game.,FD/G,19.412,19.0,21.0,Falcons
4,Rushing 1st downs,The number of times a rush results in a first down.,FDR,152.0,8.0,3.0,Falcons
5,First Downs Attempts,The number of attempts at getting a first down.,FDA,18.0,1.0,24.0,Falcons
6,4th down %,The percentage of fourth down attempts that are converted.,4THC%,50.0,30.881999969482422,17.0,Falcons
7,Fourth Down Conversions,The number of times a fourth down is converted.,4THC,9.0,,22.0,Falcons
8,Fumbles Lost,The number of times the ball has been fumbled and lost to the opposing team .,LST,12.0,,4.0,Falcons
9,Possession Time Seconds,The total time of possession in seconds.,POSS,30634.0,1802.0,15.0,Falcons
10,Red Zone Efficiency Percentage,The percentage of red zone attempts that are converted.,CMP,68.25,,13.0,Falcons
11,Red Zone Field Goal Percentage,The percentage of red zone trips that end in a field goal.,RZFG%,29.63,,11.0,Falcons
12,Red Zone Scoring Percentage,The percentage of red zone trips that result in a score.,RZ%,85.19,59.0,12.0,Falcons
13,Red Zone Touchdown Percentage,The percentage of red zone trips that result in a touchdown.,RZTD%,55.56,,13.0,Falcons
14,Third Down Attempts,The number of 3rd down attempts.,3RDA,196.0,11.0,29.0,Falcons
15,3rd down %,The percentage of 3rd downs that are converted.,3RDC%,41.837,41.08399963378906,10.0,Falcons
16,Third Down Conversions,The number of 3rd down conversions.,3RDC,82.0,4.0,20.0,Falcons
17,Total Giveaways,The total number of giveaways.,TGV,21.0,,20.0,Falcons
18,Total Penalties,The total number of total penalties.,TPEN,68.0,4.0,32.0,Falcons
19,Total Penalty Yards,The total number of penalty yards.,TPY,594.0,34.0,32.0,Falcons
20,Total Takeaways,The total number of takeaways.,TT,17.0,,27.0,Falcons
21,Total Drives,The total number of drives.,D,0.0,,1.0,Falcons
22,Turnover Ratio,Difference between take-aways and give-aways,DIFF,-4.0,,24.0,Falcons
0,Fumbles,The number of times a player/team has fumbled the ball,FUM,24.0,1.0,7.0,Bills
1,Fumbles Lost,The number of times a fumble is recovered by the opposing team,LST,13.0,,2.0,Bills
2,Forced Fumbles,The total number of forced fumbles.,FF,12.0,,39.0,Bills
3,Fumbles Recovered,The number of fumbles recovered.,FR,10.0,1.0,10.0,Bills
4,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown.,FTD,0.0,,15.0,Bills
5,Games Played,Games Played,GP,16.0,,31.0,Bills
6,Two Point Returns,The number of two point attempts that is returned by the offense.,2PTR,0.0,,1.0,Bills
7,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the offense.,OFTD,0.0,,5.0,Bills
8,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the defense.,DFTD,0.0,,15.0,Bills
0,Average Gain,The average gained yards per position.,AG,633.566,,3.0,Bills
1,Completion Percentage,The percentage of completed passes.,CMP%,62.892,62.53300094604492,21.0,Bills
2,Completions,The times a player completes a pass to another player who is eligible to catch a pass.,CMP,361.0,22.0,14.0,Bills
3,ESPN Quarterback Rating,The quarterback rating used to compare overall offensive performance relative to other positions.,EQBR,6321.0,,5.0,Bills
4,Interception Percentage,The percentage of passes thrown that were intercepted by the opposing team.,INT%,2.439,2.740000009536743,17.0,Bills
5,Interceptions,The number of passes thrown that were intercepted by the opposing team.,INT,14.0,,17.0,Bills
6,Longest Pass,The longest pass play completed in terms of yards.,LNG,98.0,39.0,1.0,Bills
7,Miscellaneous Yards,The number of miscellaneous yards.,MISC,0.0,,1.0,Bills
8,Net Passing Yards,The amount of net passing yards.,NYDS,4129.0,258.0,8.0,Bills
9,Net Passing Yards Per Game,The amount of net passing yards per game.,NYDS/G,258.0625,,7.0,Bills
10,Net Total Yards,The amount of net total yards.,NTYDS,6361.0,,4.0,Bills
11,Net Yards Per Game,The amount of net total yards per game.,NTYDS/G,397.5625,,2.0,Bills
12,Passing Attempts,The number of times a pass is attempted.,ATT,574.0,35.0,14.0,Bills
